created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-29T14:09:59+00:00,100,207.50,3.27,50.00,677.90,0.19,1.00,,,,
2025-10-29T14:10:24+00:00,101,206.70,3.26,50.00,672.70,0.19,1.00,,,,
2025-10-29T14:10:44+00:00,102,206.60,3.26,50.00,672.20,0.19,1.00,,,,
2025-10-29T14:11:08+00:00,103,205.80,3.24,50.00,666.80,0.20,1.00,,,,
2025-10-29T14:11:34+00:00,104,214.70,0.28,50.00,40.10,0.20,0.66,,,,
2025-10-29T14:11:54+00:00,105,214.40,0.28,50.00,40.20,0.20,0.67,,,,
2025-10-29T14:12:19+00:00,106,215.60,0.28,50.00,40.60,0.20,0.67,,,,
2025-10-29T14:12:40+00:00,107,216.30,0.12,50.00,17.30,0.20,0.69,,,,
2025-10-29T14:13:07+00:00,108,215.40,0.12,50.00,17.10,0.20,0.69,,,,
2025-10-29T14:13:30+00:00,109,215.70,0.12,50.00,17.20,0.20,0.69,,,,
2025-10-29T14:13:48+00:00,110,216.10,0.12,49.90,17.30,0.20,0.69,,,,
2025-10-29T14:14:12+00:00,111,216.40,0.12,50.00,17.30,0.20,0.69,,,,
2025-10-29T14:14:28+00:00,112,216.50,0.12,50.00,17.40,0.20,0.69,,,,
2025-10-29T14:14:48+00:00,113,216.60,0.12,50.00,17.40,0.20,0.69,,,,
2025-10-29T14:15:14+00:00,114,215.30,0.12,50.00,17.10,0.20,0.69,,,,
2025-10-29T14:15:35+00:00,115,215.50,0.12,50.00,17.20,0.20,0.69,,,,
2025-10-29T14:15:58+00:00,116,215.10,0.12,50.00,17.00,0.20,0.69,,,,
2025-10-29T14:16:25+00:00,117,215.80,0.12,50.00,17.10,0.20,0.69,,,,
2025-10-29T14:16:44+00:00,118,216.10,0.12,50.00,17.20,0.20,0.69,,,,
2025-10-29T14:17:06+00:00,119,211.80,0.11,50.00,16.60,0.20,0.69,,,,
2025-10-29T14:17:29+00:00,120,212.80,0.11,49.90,16.70,0.20,0.69,,,,
2025-10-29T14:17:52+00:00,121,211.90,0.11,50.00,16.70,0.20,0.70,,,,
2025-10-29T14:18:12+00:00,122,212.10,0.11,50.00,16.60,0.20,0.69,,,,
2025-10-29T14:18:34+00:00,123,213.40,0.11,50.00,16.80,0.20,0.70,,,,
2025-10-29T14:18:57+00:00,124,212.70,0.11,49.90,16.70,0.20,0.69,,,,
2025-10-29T14:19:18+00:00,125,213.30,0.11,50.00,16.90,0.20,0.70,,,,
2025-10-29T14:19:42+00:00,126,211.50,0.11,50.00,16.60,0.20,0.70,,,,
2025-10-29T14:20:05+00:00,127,211.90,0.11,50.00,16.60,0.20,0.69,,,,
2025-10-29T14:20:26+00:00,128,211.30,0.11,50.00,16.50,0.20,0.70,,,,
2025-10-29T14:20:48+00:00,129,210.60,0.11,50.00,16.30,0.20,0.69,,,,
2025-10-29T14:21:10+00:00,130,209.80,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:21:33+00:00,131,208.50,0.11,50.00,16.10,0.20,0.70,,,,
2025-10-29T14:21:48+00:00,132,209.20,0.11,50.00,16.20,0.20,0.70,,,,
2025-10-29T14:22:06+00:00,133,210.90,0.11,50.00,16.50,0.20,0.70,,,,
2025-10-29T14:22:29+00:00,134,210.60,0.11,50.00,16.50,0.20,0.70,,,,
2025-10-29T14:22:53+00:00,135,210.00,0.11,49.90,16.40,0.20,0.70,,,,
2025-10-29T14:23:17+00:00,136,209.70,0.11,50.00,16.20,0.20,0.70,,,,
2025-10-29T14:23:46+00:00,137,209.60,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:24:06+00:00,138,209.60,0.11,50.00,16.20,0.20,0.70,,,,
2025-10-29T14:24:23+00:00,139,210.40,0.11,50.00,16.50,0.20,0.70,,,,
2025-10-29T14:24:44+00:00,140,209.60,0.11,50.00,16.40,0.20,0.70,,,,
2025-10-29T14:25:07+00:00,141,209.60,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:25:22+00:00,142,209.60,0.11,50.00,16.20,0.20,0.70,,,,
2025-10-29T14:25:39+00:00,143,209.80,0.11,50.00,16.40,0.20,0.70,,,,
2025-10-29T14:26:01+00:00,144,209.80,0.11,50.00,16.20,0.20,0.70,,,,
2025-10-29T14:26:25+00:00,145,210.30,0.11,50.00,16.40,0.20,0.70,,,,
2025-10-29T14:26:51+00:00,146,212.60,0.11,50.00,16.60,0.20,0.69,,,,
2025-10-29T14:27:11+00:00,147,210.70,0.11,50.00,16.40,0.20,0.69,,,,
2025-10-29T14:27:34+00:00,148,210.20,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:27:58+00:00,149,209.90,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:28:28+00:00,150,210.10,0.11,50.00,16.30,0.20,0.70,,,,
2025-10-29T14:28:51+00:00,151,210.20,0.11,49.90,16.40,0.20,0.70,,,,
2025-10-29T14:29:07+00:00,152,211.30,0.11,49.90,16.60,0.20,0.70,,,,
2025-10-29T14:29:26+00:00,153,210.90,0.11,50.00,16.50,0.21,0.70,,,,
2025-10-29T14:29:58+00:00,154,211.00,0.11,49.90,16.50,0.21,0.69,,,,
2025-10-29T14:30:22+00:00,155,211.30,0.11,49.90,16.60,0.21,0.70,,,,
2025-10-29T14:30:44+00:00,156,212.20,0.11,50.00,16.60,0.21,0.69,,,,
2025-10-29T14:31:04+00:00,157,212.20,0.11,50.00,16.70,0.21,0.70,,,,
2025-10-29T14:31:27+00:00,158,211.40,0.11,50.00,16.50,0.21,0.70,,,,
2025-10-29T14:31:48+00:00,159,211.30,0.11,50.00,16.20,0.21,0.69,,,,
2025-10-29T14:32:12+00:00,160,212.20,0.11,50.00,16.20,0.21,0.69,,,,
2025-10-29T14:32:28+00:00,161,212.40,0.11,50.00,16.30,0.21,0.69,,,,
2025-10-29T14:32:45+00:00,162,211.70,0.11,50.00,16.20,0.21,0.69,,,,
2025-10-29T14:33:09+00:00,163,212.10,0.11,50.00,16.20,0.21,0.69,,,,
2025-10-29T14:33:37+00:00,164,211.30,0.11,49.90,16.20,0.21,0.69,,,,
2025-10-29T14:33:56+00:00,165,211.70,0.11,49.90,16.10,0.21,0.69,,,,
2025-10-29T14:34:13+00:00,166,211.60,0.11,49.90,16.20,0.21,0.69,,,,
2025-10-29T14:34:33+00:00,167,210.70,0.11,49.90,16.00,0.21,0.69,,,,
2025-10-29T14:34:51+00:00,168,209.60,0.11,49.90,15.80,0.21,0.69,,,,
2025-10-29T14:35:09+00:00,169,208.60,0.11,50.00,15.80,0.21,0.69,,,,
